Event ID,Team 1 ID,RatingTotal,Rank
1040,4608,1,576,
1040,4791,0,772,
1040,4863,1,332,
1040,5378,0,583,
1040,6137,1,33733,
1040,6676,1,287,
1040,6729,0,891,
1040,6947,0,844,
1040,7214,1,386,
1040,7215,0,712,
1040,7890,0,804,
1040,7891,1,394,
1040,8141,1,098,
1040,8142,0,974,
1635,6425,1,252,
1635,6973,1,
1635,6985,1,04733,
1635,7088,1,05867,
1690,4501,1,0375,
1690,4559,1,1525,
1690,4602,1,0485,
1690,5272,0,886,
1690,6222,1,032,
1690,6343,1,034,
1690,6407,1,17488,
1690,6491,0,739,
1690,6686,1,20975,
1690,6807,0,656,
1690,6896,0,987,
1690,6923,1,21,
1690,6946,1,035,
1690,6964,0,623,
1690,7020,1,17935,
1690,7061,0,846,
1690,7074,0,958,
1690,7076,0,656,
1954,5752,1,09787,
1954,5973,1,12933,
1954,5974,0,8244,
1954,6118,1,04343,
1954,6290,1,326,
1954,6301,0,7885,
1954,6673,0,88733,
1954,6736,0,92333,
1959,4494,1,2345,
1959,4501,1,073,
1959,5195,0,685,
1959,5214,1,046,
1959,5395,0,827,
1959,5988,1,23687,
1959,5995,0,797,
1959,6045,1,025,
1959,6137,0,858,
1959,6226,0,9565,
1959,6375,1,1435,
1970,5284,1,068,
1970,5991,1,06857,
1973,6417,0,951,
1973,6418,1,208,
1973,6419,0,731,
1973,6420,1,0955,
1977,4494,1,22866,
1977,4608,1,179,
1977,5378,0,9205,
1977,5422,1,09075,
1977,6137,0,873,
1977,6290,1,15091,
1977,6665,1,00733,
1977,6667,0,8985,
1978,4608,1,08778,
1978,4991,1,17959,
1978,5991,1,13375,
1978,5995,0,89655,
1978,6290,1,16667,
1978,6503,0,89216,
1978,6548,0,98581,
1978,6637,0,82666,
1979,4863,1,2935,
1979,6109,0,90667,
1979,6248,1,0264,
1979,6355,0,582,
1979,6416,0,898,
1979,6422,0,734,
1979,6598,1,512,
1979,6714,1,618,
1979,6723,1,142,
2013,5422,1,10479,
2013,5752,0,97943,
2013,5974,0,90881,
2013,5988,0,9055,
2013,5991,1,13706,
2013,5995,1,08188,
2013,6132,0,7655,
2013,6665,1,21905,
2024,4501,0,863,
2024,5929,0,822,
2024,5995,1,262,
2024,6372,0,81,
2024,6637,1,308,
2027,4411,0,9481,
2027,4494,1,0185,
2027,4608,1,13375,
2027,4991,1,2568,
2027,5378,1,28557,
2027,5752,0,72,
2027,5973,1,139,
2027,5974,0,91183,
2027,5988,1,103,
2027,5991,0,965,
2027,5995,1,01267,
2027,6290,1,21575,
2027,6301,0,63,
2027,6651,1,0045,
2027,6665,1,114,
2027,6667,1,008,
2033,4742,0,99802,
2033,5988,1,07086,
2033,6132,0,726,
2033,6226,1,14679,
2033,6405,1,05873,
2033,6471,0,9668,
2033,6685,1,18673,
2034,4608,1,2355,
2034,4791,0,899,
2034,5378,1,0105,
2034,5988,0,92533,
2034,5991,1,096,
2034,6287,0,63,
2034,6665,1,136,
2034,6673,0,8612,
2036,4411,1,12183,
2036,4494,1,0635,
2036,4608,1,13267,
2036,4991,1,20562,
2036,5378,0,92234,
2036,5991,0,9948,
2036,6118,1,09875,
2036,6226,0,90125,
2036,6248,0,6936,
2036,6290,1,09737,
2036,6665,1,1575,
2036,6667,1,04266,
2042,4501,1,05325,
2042,4548,1,17312,
2042,4869,1,00209,
2042,5214,0,9264,
2042,5395,1,10613,
2042,5988,1,1055,
2042,6137,1,208,
2042,6226,1,14775,
2042,6287,1,1772,
2042,6301,1,157,
2042,6372,1,125,
2042,6375,1,08025,
2042,6386,0,972,
2042,6405,0,9895,
2059,4477,1,0405,
2059,4501,1,171,
2059,4548,1,15534,
2059,4682,0,747,
2059,4688,1,085,
2059,4869,0,978,
2059,5310,1,26,
2059,5422,1,17816,
2059,5929,1,01675,
2059,6137,1,2265,
2059,6226,1,07319,
2059,6724,1,012,
2059,6807,0,796,
2059,6832,1,0415,
2059,6842,1,1035,
2059,6855,0,659,
2062,4411,0,99,
2062,4494,0,938,
2062,4608,1,112,
2062,4991,1,06571,
2062,5378,1,069,
2062,5422,1,3345,
2062,5973,1,08094,
2062,5974,0,731,
2062,5988,1,10333,
2062,5991,0,874,
2062,5995,0,988,
2062,6137,1,23683,
2062,6615,0,746,
2062,6651,0,9085,
2062,6665,1,0594,
2062,6667,0,844,
2070,4869,1,39818,
2070,5395,0,88643,
2070,6132,0,545,
2070,6137,1,2015,
2070,6226,0,759,
2070,6372,1,16867,
2070,6408,0,852,
